stage	status	start_time	end_time	elapsed_seconds	config_path	outdir	n_patients	n_candidate_features	n_stage2_rows	n_stage3_candidates	n_stage4_subsets	output_dir	endpoint_name	endpoint_type	fold	n_train	n_test	candidate_source	selected_subset_size
build_search_dataset	completed	2026-04-06T10:06:15	2026-04-06T10:06:15	0.6203808151185513	configs/version2_modeling_base_v2_single_feature_outer.yaml														
exploratory_full_cohort.stage2_single_feature_scan	completed	2026-04-06T10:06:16	2026-04-06T19:10:16	32640.914200367406		data/20260309_pilot/results/version2/feature_search_base_v2_single_feature_outer	65.0	944.0											
exploratory_full_cohort.stage3_redundancy_pruning	completed	2026-04-06T19:10:16	2026-04-06T19:10:17	0.05135199427604675		data/20260309_pilot/results/version2/feature_search_base_v2_single_feature_outer			944.0										
exploratory_full_cohort.stage4_subset_search	completed	2026-04-06T19:10:17	2026-04-06T19:10:17	0.005212359130382538		data/20260309_pilot/results/version2/feature_search_base_v2_single_feature_outer				12.0									
exploratory_full_cohort.stage5_best_subset_refits	completed	2026-04-06T19:10:17	2026-04-06T19:10:17	0.006467275321483612		data/20260309_pilot/results/version2/feature_search_base_v2_single_feature_outer					0.0								
exploratory_full_cohort	completed	2026-04-06T10:06:15	2026-04-06T19:10:17	32641.220129268244								data/20260309_pilot/results/version2/feature_search_base_v2_single_feature_outer							
outer_validation.binarized_response.fold_01.train_search.stage2_single_feature_scan	completed	2026-04-06T19:10:18	2026-04-07T00:42:47	19949.22229872644		data/20260309_pilot/results/version2/feature_search_base_v2_single_feature_outer/outer_search_validation/binarized_response/fold_01	43.0	944.0											
outer_validation.binarized_response.fold_01.train_search.stage3_redundancy_pruning	completed	2026-04-07T00:42:47	2026-04-07T00:42:47	0.03541693650186062		data/20260309_pilot/results/version2/feature_search_base_v2_single_feature_outer/outer_search_validation/binarized_response/fold_01			944.0										
outer_validation.binarized_response.fold_01.train_search.stage4_subset_search	completed	2026-04-07T00:42:47	2026-04-07T00:42:47	0.003868531435728073		data/20260309_pilot/results/version2/feature_search_base_v2_single_feature_outer/outer_search_validation/binarized_response/fold_01				10.0									
outer_validation.binarized_response.fold_01.train_search	completed	2026-04-06T19:10:17	2026-04-07T00:42:47	19949.468724042177									Binarized_response	binary	1.0	43.0	22.0		
outer_validation.binarized_response.fold_01.outer_test_evaluation	completed	2026-04-07T00:42:47	2026-04-07T00:42:59	12.503805879503489									Binarized_response	binary	1.0			stage2_single	1.0
outer_validation.binarized_response.fold_02.train_search.stage2_single_feature_scan	completed	2026-04-07T00:43:00	2026-04-07T05:49:40	18399.638623390347		data/20260309_pilot/results/version2/feature_search_base_v2_single_feature_outer/outer_search_validation/binarized_response/fold_02	43.0	944.0											
outer_validation.binarized_response.fold_02.train_search.stage3_redundancy_pruning	completed	2026-04-07T05:49:40	2026-04-07T05:49:40	0.12036841548979282		data/20260309_pilot/results/version2/feature_search_base_v2_single_feature_outer/outer_search_validation/binarized_response/fold_02			944.0										
outer_validation.binarized_response.fold_02.train_search.stage4_subset_search	completed	2026-04-07T05:49:40	2026-04-07T05:49:40	0.0038367584347724915		data/20260309_pilot/results/version2/feature_search_base_v2_single_feature_outer/outer_search_validation/binarized_response/fold_02				12.0									
outer_validation.binarized_response.fold_02.train_search	completed	2026-04-07T00:43:00	2026-04-07T05:49:40	18399.909681184217									Binarized_response	binary	2.0	43.0	22.0		
outer_validation.binarized_response.fold_02.outer_test_evaluation	completed	2026-04-07T05:49:40	2026-04-07T05:49:52	12.186025518923998									Binarized_response	binary	2.0			stage2_single	1.0
outer_validation.binarized_response.fold_03.train_search.stage2_single_feature_scan	completed	2026-04-07T05:49:53	2026-04-07T09:41:55	13922.488908814266		data/20260309_pilot/results/version2/feature_search_base_v2_single_feature_outer/outer_search_validation/binarized_response/fold_03	44.0	944.0											
outer_validation.binarized_response.fold_03.train_search.stage3_redundancy_pruning	completed	2026-04-07T09:41:55	2026-04-07T09:41:55	0.04894290491938591		data/20260309_pilot/results/version2/feature_search_base_v2_single_feature_outer/outer_search_validation/binarized_response/fold_03			944.0										
outer_validation.binarized_response.fold_03.train_search.stage4_subset_search	completed	2026-04-07T09:41:55	2026-04-07T09:41:55	0.006229078397154808		data/20260309_pilot/results/version2/feature_search_base_v2_single_feature_outer/outer_search_validation/binarized_response/fold_03				12.0									
outer_validation.binarized_response.fold_03.train_search	completed	2026-04-07T05:49:53	2026-04-07T09:41:55	13922.670888829976									Binarized_response	binary	3.0	44.0	21.0		
outer_validation.binarized_response.fold_03.outer_test_evaluation	completed	2026-04-07T09:41:55	2026-04-07T09:42:07	11.364161284640431									Binarized_response	binary	3.0			stage2_single	1.0
outer_search_validation	completed	2026-04-06T19:10:17	2026-04-07T09:42:07	52310.276194104925								data/20260309_pilot/results/version2/feature_search_base_v2_single_feature_outer/outer_search_validation							
