endpoint_name,endpoint_type,feature_name,family,family_cap_group,family_cap_applies,feature_level,ranking_metric,full_data_coef
Binarized_response,binary,nonconventional_T__curated_gene_gdt_ifn_response__pc1,signature::nonconventional_T::curated_gene_gdt_ifn_response,signature::nonconventional_T::curated_gene_gdt_ifn_response,True,pseudobulk_curated_pc1,0.09013095238095248,3.735888957977295
Binarized_response,binary,Monocyte__curated_gene_mono_ifn_core__singscore,signature::Monocyte::curated_gene_mono_ifn_core,signature::Monocyte::curated_gene_mono_ifn_core,True,pseudobulk_curated_singscore,0.0816309523809523,2.1635758876800537
Binarized_response,binary,Monocyte__curated_gene_gobp_regulation_of_monocyte_chemotaxis__pc2,signature::Monocyte::curated_gene_gobp_regulation_of_monocyte_chemotaxis,signature::Monocyte::curated_gene_gobp_regulation_of_monocyte_chemotaxis,True,pseudobulk_curated_pc2,0.062345238095237954,-1.0430598258972168
Binarized_response,binary,CD4T__curated_gene_cd4_ifn_response__singscore,signature::CD4T::curated_gene_cd4_ifn_response,signature::CD4T::curated_gene_cd4_ifn_response,True,pseudobulk_curated_singscore,0.05670238095238089,1.688805341720581
Binarized_response,binary,Monocyte__curated_gene_gobp_cytokine_production_involved_in_inflammatory_response__ssgsea2_es,signature::Monocyte::curated_gene_gobp_cytokine_production_involved_in_inflammatory_response,signature::Monocyte::curated_gene_gobp_cytokine_production_involved_in_inflammatory_response,True,pseudobulk_curated_ssgsea2,0.055988095238095226,-1.5144727230072021
Binarized_response,binary,NK__curated_gene_gobp_positive_regulation_of_type_ii_interferon_production__pc2,signature::NK::curated_gene_gobp_positive_regulation_of_type_ii_interferon_production,signature::NK::curated_gene_gobp_positive_regulation_of_type_ii_interferon_production,True,pseudobulk_curated_pc2,0.051488095238095166,-1.1817927360534668
Binarized_response,binary,NK__curated_gene_gobp_positive_regulation_of_natural_killer_cell_mediated_immunity__pc2,signature::NK::curated_gene_gobp_positive_regulation_of_natural_killer_cell_mediated_immunity,signature::NK::curated_gene_gobp_positive_regulation_of_natural_killer_cell_mediated_immunity,True,pseudobulk_curated_pc2,0.05122619047619037,1.1986815929412842
Binarized_response,binary,NK__curated_gene_nk_cytotoxicity__pc2,signature::NK::curated_gene_nk_cytotoxicity,signature::NK::curated_gene_nk_cytotoxicity,True,pseudobulk_curated_pc2,0.04991666666666672,0.9950432181358337
Binarized_response,binary,NK__curated_gene_nk_adaptive_fcgr3a__pc2,signature::NK::curated_gene_nk_adaptive_fcgr3a,signature::NK::curated_gene_nk_adaptive_fcgr3a,True,pseudobulk_curated_pc2,0.04774999999999985,1.0181148052215576
Binarized_response,binary,NK__curated_gene_nk_ifng_response__pc1,signature::NK::curated_gene_nk_ifng_response,signature::NK::curated_gene_nk_ifng_response,True,pseudobulk_curated_pc1,0.04760714285714285,1.5650697946548462
Binarized_response,binary,CD4T__curated_gene_cd4_th1_helper__singscore,signature::CD4T::curated_gene_cd4_th1_helper,signature::CD4T::curated_gene_cd4_th1_helper,True,pseudobulk_curated_singscore,0.04208333333333325,0.405052125453949
Binarized_response,binary,CD8T__curated_gene_cd8_ifn_response__singscore,signature::CD8T::curated_gene_cd8_ifn_response,signature::CD8T::curated_gene_cd8_ifn_response,True,pseudobulk_curated_singscore,0.04086904761904764,2.581172227859497
