comparison_name,analysis_block,endpoint,candidate,reference,n_endpoint_patients_candidate,n_endpoint_patients_reference,delta_n_endpoint_patients,roc_auc_mean_candidate,roc_auc_mean_reference,delta_roc_auc_mean,roc_auc_sd_candidate,roc_auc_sd_reference,delta_roc_auc_sd,auprc_mean_candidate,auprc_mean_reference,delta_auprc_mean,auprc_sd_candidate,auprc_sd_reference,delta_auprc_sd,brier_mean_candidate,brier_mean_reference,delta_brier_mean,brier_sd_candidate,brier_sd_reference,delta_brier_sd,cindex_mean_candidate,cindex_mean_reference,delta_cindex_mean,cindex_sd_candidate,cindex_sd_reference,delta_cindex_sd
primary_incremental_value,primary,Binarized_response,clinical_plus_bio_sbp,clinical_only,65,65,0,0.6362380952380953,0.6405595238095237,-0.004321428571428476,0.1457906930779957,0.16058141620892105,-0.01479072313092536,0.6495854774854775,0.6387021127021126,0.010883364783364824,0.13564550498822367,0.15175641818677657,-0.0161109131985529,0.2738049616814182,0.25586581167576944,0.017939150005648774,0.07487786787172099,0.06480350510239517,0.010074362769325815,,,,,,
primary_incremental_value,primary,PFS,clinical_plus_bio_sbp,clinical_only,65,65,0,,,,,,,,,,,,,,,,,,,0.583816782157542,0.5795147964588757,0.004301985698666244,0.07154160706254444,0.06577910991153858,0.005762497151005852
primary_incremental_value,primary,PFS_6m_restricted,clinical_plus_bio_sbp,clinical_only,65,65,0,,,,,,,,,,,,,,,,,,,0.5759956078819729,0.5843020370469091,-0.00830642916493618,0.12879458476461914,0.1211601937544255,0.007634391010193642
bio_sbp_vs_bio_sbp_plus_pc,secondary,Binarized_response,clinical_plus_bio_sbp_plus_pc,clinical_plus_bio_sbp,65,65,0,0.5601190476190476,0.6362380952380953,-0.07611904761904764,0.13283875238019094,0.1457906930779957,-0.012951940697804754,0.5689778203278203,0.6495854774854775,-0.08060765715765716,0.12632486117251837,0.13564550498822367,-0.009320643815705298,0.3282775557149292,0.2738049616814182,0.05447259403351101,0.07389857284124958,0.07487786787172099,-0.0009792950304714082,,,,,,
bio_sbp_vs_bio_sbp_plus_pc,secondary,PFS,clinical_plus_bio_sbp_plus_pc,clinical_plus_bio_sbp,65,65,0,,,,,,,,,,,,,,,,,,,0.5556323957529461,0.583816782157542,-0.028184386404595863,0.0774914485295649,0.07154160706254444,0.005949841467020461
bio_sbp_vs_bio_sbp_plus_pc,secondary,PFS_6m_restricted,clinical_plus_bio_sbp_plus_pc,clinical_plus_bio_sbp,65,65,0,,,,,,,,,,,,,,,,,,,0.5364648444629968,0.5759956078819729,-0.0395307634189761,0.13290579671898056,0.12879458476461914,0.004111211954361427
pd_l1_increment_bio_sbp,secondary,Binarized_response,clinical_plus_bio_sbp_with_pd_l1,clinical_plus_bio_sbp,65,65,0,0.6248809523809524,0.6362380952380953,-0.011357142857142843,0.1592607396011501,0.1457906930779957,0.013470046523154394,0.6305748732748733,0.6495854774854775,-0.019010604210604187,0.1419438064150836,0.13564550498822367,0.006298301426859942,0.2905724936590838,0.2738049616814182,0.016767531977665562,0.09105777189162573,0.07487786787172099,0.01617990401990474,,,,,,
pd_l1_increment_bio_sbp,secondary,PFS,clinical_plus_bio_sbp_with_pd_l1,clinical_plus_bio_sbp,65,65,0,,,,,,,,,,,,,,,,,,,0.6086963386519099,0.583816782157542,0.024879556494367905,0.07317917004792954,0.07154160706254444,0.001637562985385102
pd_l1_increment_bio_sbp,secondary,PFS_6m_restricted,clinical_plus_bio_sbp_with_pd_l1,clinical_plus_bio_sbp,65,65,0,,,,,,,,,,,,,,,,,,,0.5764062302185957,0.5759956078819729,0.00041062233662281233,0.1290249313532647,0.12879458476461914,0.00023034658864556912
pd_l1_increment_bio_sbp_plus_pc,secondary,Binarized_response,clinical_plus_bio_sbp_plus_pc_with_pd_l1,clinical_plus_bio_sbp_plus_pc,65,65,0,0.5743095238095239,0.5601190476190476,0.014190476190476309,0.1163056655711746,0.13283875238019094,-0.016533086809016342,0.5831895585895586,0.5689778203278203,0.014211738261738271,0.12938058322201149,0.12632486117251837,0.0030557220494931148,0.3228993606267073,0.3282775557149292,-0.005378195088221904,0.07556822191355567,0.07389857284124958,0.001669649072306087,,,,,,
pd_l1_increment_bio_sbp_plus_pc,secondary,PFS,clinical_plus_bio_sbp_plus_pc_with_pd_l1,clinical_plus_bio_sbp_plus_pc,65,65,0,,,,,,,,,,,,,,,,,,,0.5820827545263313,0.5556323957529461,0.026450358773385196,0.08464790005098598,0.0774914485295649,0.007156451521421081
pd_l1_increment_bio_sbp_plus_pc,secondary,PFS_6m_restricted,clinical_plus_bio_sbp_plus_pc_with_pd_l1,clinical_plus_bio_sbp_plus_pc,65,65,0,,,,,,,,,,,,,,,,,,,0.5518036738948403,0.5364648444629968,0.015338829431843504,0.11978567361937,0.13290579671898056,-0.013120123099610567
