analysis_block,endpoint,feature_set,best_alpha,best_l1_ratio,full_inner_auc,n_features_after_preprocessing,selection_rule,logistic_force_in_note,best_penalizer,full_inner_cindex,cox_clinical_penalty_factor
primary,Binarized_response,clinical_only,0.01,0.95,0.6712301587301588,11,best,"Elastic-net logistic regression is implemented with sklearn saga, so clinical covariates are not fully force-in; clinical and immune predictors are penalized together.
",,,
primary,PFS,clinical_only,,0.75,,11,best,,0.1,0.6155569920275802,1.0
primary,PFS_6m_restricted,clinical_only,,0.25,,11,best,,0.003,0.6267772208912985,1.0
primary,Binarized_response,clinical_plus_bio_sbp,0.001,1.0,0.6305555555555555,16,best,"Elastic-net logistic regression is implemented with sklearn saga, so clinical covariates are not fully force-in; clinical and immune predictors are penalized together.
",,,
secondary,Binarized_response,clinical_plus_bio_sbp,0.001,1.0,0.6305555555555555,16,best,"Elastic-net logistic regression is implemented with sklearn saga, so clinical covariates are not fully force-in; clinical and immune predictors are penalized together.
",,,
primary,PFS,clinical_plus_bio_sbp,,0.5,,16,best,,0.03,0.5863894275658981,1.0
secondary,PFS,clinical_plus_bio_sbp,,0.5,,16,best,,0.03,0.5863894275658981,1.0
primary,PFS_6m_restricted,clinical_plus_bio_sbp,,0.5,,16,best,,1.0,0.6037975104722677,1.0
secondary,PFS_6m_restricted,clinical_plus_bio_sbp,,0.5,,16,best,,1.0,0.6037975104722677,1.0
secondary,Binarized_response,immune_only_bio_sbp_plus_pc,1.0,0.75,0.47718253968253965,13,best,"Elastic-net logistic regression is implemented with sklearn saga, so clinical covariates are not fully force-in; clinical and immune predictors are penalized together.
",,,
secondary,PFS,immune_only_bio_sbp_plus_pc,,0.25,,13,best,,0.3,0.5146358543417366,1.0
secondary,PFS_6m_restricted,immune_only_bio_sbp_plus_pc,,0.25,,13,best,,0.01,0.49311711077487774,1.0
secondary,Binarized_response,clinical_plus_bio_sbp_plus_pc,0.01,0.25,0.5535714285714286,23,best,"Elastic-net logistic regression is implemented with sklearn saga, so clinical covariates are not fully force-in; clinical and immune predictors are penalized together.
",,,
secondary,PFS,clinical_plus_bio_sbp_plus_pc,,1.0,,23,best,,0.1,0.5824373339079221,1.0
secondary,PFS_6m_restricted,clinical_plus_bio_sbp_plus_pc,,0.25,,23,best,,0.003,0.5814625099819275,1.0
secondary,Binarized_response,clinical_plus_bio_sbp_with_pd_l1,0.001,1.0,0.7240079365079364,18,best,"Elastic-net logistic regression is implemented with sklearn saga, so clinical covariates are not fully force-in; clinical and immune predictors are penalized together.
",,,
secondary,PFS,clinical_plus_bio_sbp_with_pd_l1,,1.0,,18,best,,3.0,0.6181929181929182,1.0
secondary,PFS_6m_restricted,clinical_plus_bio_sbp_with_pd_l1,,0.25,,18,best,,1.0,0.6480842579750347,1.0
secondary,Binarized_response,clinical_plus_bio_sbp_plus_pc_with_pd_l1,0.1,1.0,0.6,25,best,"Elastic-net logistic regression is implemented with sklearn saga, so clinical covariates are not fully force-in; clinical and immune predictors are penalized together.
",,,
secondary,PFS,clinical_plus_bio_sbp_plus_pc_with_pd_l1,,0.25,,25,best,,3.0,0.626596279537456,1.0
secondary,PFS_6m_restricted,clinical_plus_bio_sbp_plus_pc_with_pd_l1,,0.25,,25,best,,1.0,0.6308720001681166,1.0
