celltype,pc,variance_ratio,cumulative_variance_ratio
effector CD8+T,1,0.08792700252384565,0.08792700252384565
effector CD8+T,2,0.06827412459547301,0.15620112711931866
effector CD8+T,3,0.0637027947974565,0.21990392191677516
effector CD8+T,4,0.05265027240293993,0.27255419431971506
effector CD8+T,5,0.04582215665398491,0.3183763509737
effector CD8+T,6,0.04038434751131213,0.35876069848501213
effector CD8+T,7,0.03356244161644327,0.3923231401014554
effector CD8+T,8,0.03023626242813074,0.4225594025295861
effector CD8+T,9,0.029476886033943224,0.45203628856352934
effector CD8+T,10,0.02625889549210357,0.4782951840556329
effector CD8+T,11,0.0253329664211584,0.5036281504767913
effector CD8+T,12,0.02356475759544129,0.5271929080722326
effector CD8+T,13,0.022961496567353676,0.5501544046395863
effector CD8+T,14,0.022347346332739007,0.5725017509723254
effector CD8+T,15,0.021584177692613102,0.5940859286649385
CD14 Mono,1,0.13390010201533684,0.13390010201533684
CD14 Mono,2,0.09965771817892781,0.23355782019426463
CD14 Mono,3,0.06305420837790832,0.29661202857217295
CD14 Mono,4,0.05247600836656217,0.34908803693873514
CD14 Mono,5,0.04865182659850134,0.39773986353723645
CD14 Mono,6,0.034184979670521747,0.4319248432077582
CD14 Mono,7,0.03385809945358473,0.4657829426613429
CD14 Mono,8,0.030535665585128505,0.4963186082464714
CD14 Mono,9,0.027595803867798467,0.5239144121142698
CD14 Mono,10,0.02529190551222021,0.54920631762649
CD14 Mono,11,0.023824807205342434,0.5730311248318324
CD14 Mono,12,0.022039845157219875,0.5950709699890523
CD14 Mono,13,0.021531380603793712,0.616602350592846
CD14 Mono,14,0.02066409243763552,0.6372664430304815
CD14 Mono,15,0.01914571188974899,0.6564121549202305
NK,1,0.10119912475491327,0.10119912475491327
NK,2,0.09122412124166825,0.1924232459965815
NK,3,0.07313828934772149,0.265561535344303
NK,4,0.06293663989521163,0.32849817523951463
NK,5,0.04827784131269257,0.3767760165522072
NK,6,0.04596743954825819,0.4227434561004654
NK,7,0.03954361393345936,0.4622870700339247
NK,8,0.03463004585096014,0.49691711588488485
NK,9,0.026522647227000713,0.5234397631118856
NK,10,0.02557079693244453,0.5490105600443301
NK,11,0.024407841884199012,0.5734184019285291
NK,12,0.021879185835381974,0.5952975877639111
NK,13,0.02055066682963355,0.6158482545935446
NK,14,0.018493301893047983,0.6343415564865926
NK,15,0.01736150161092361,0.6517030580975163
naive/TCM CD4+T,1,0.17525408743229715,0.17525408743229715
naive/TCM CD4+T,2,0.08642213344248816,0.2616762208747853
naive/TCM CD4+T,3,0.05971157409254384,0.32138779496732917
naive/TCM CD4+T,4,0.042749331463721084,0.36413712643105023
naive/TCM CD4+T,5,0.031837513450777566,0.3959746398818278
naive/TCM CD4+T,6,0.031216915334970747,0.4271915552167985
naive/TCM CD4+T,7,0.029069575519971046,0.45626113073676955
naive/TCM CD4+T,8,0.025973899050423015,0.48223502978719257
naive/TCM CD4+T,9,0.0245712555172812,0.5068062853044738
naive/TCM CD4+T,10,0.024210542051838393,0.5310168273563122
naive/TCM CD4+T,11,0.023246898754008125,0.5542637261103203
naive/TCM CD4+T,12,0.022244345706017042,0.5765080718163373
naive/TCM CD4+T,13,0.020799420257659434,0.5973074920739968
naive/TCM CD4+T,14,0.019912157406170382,0.6172196494801672
naive/TCM CD4+T,15,0.019539851976060108,0.6367595014562273
